prod_id,country,list_price,prod_desc,prod_long_desc,theme_name,ages,piece_count,set_name,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
70612,NO,71.37,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,8-14,544,Green Ninja Mech Dragon,29.0,4.6,Average,4.7,4.5
70611,NO,58.37000000000001,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,8-14,494,Water Strider,21.0,4.6,Average,4.5,4.8
70640,NO,58.37000000000001,blah,blahblah,NINJAGO®,8-14,530,S.O.G. Headquarters,,,nan,,
70641,NO,58.37000000000001,blah,blahblah,NINJAGO®,9-14,552,Ninja Nightcrawler,4.0,4.3,Challenging,4.8,4.3
70639,NO,45.37000000000001,blah,blahblah,NINJAGO®,7-14,308,Street Race of Snake Jaguar,3.0,5.0,Average,4.7,4.3
70608,NO,45.37000000000001,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,7-14,312,Master Falls,10.0,3.5,Easy,4.0,3.6
70610,NO,45.37000000000001,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,8-14,341,Flying Jelly Sub,7.0,4.2,Average,4.6,4.6
70609,NO,45.37000000000001,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,7-14,341,Manta Ray Bomber,6.0,4.4,Easy,4.3,4.2
70638,NO,29.887,blah,blahblah,NINJAGO®,7-14,257,Katana V11,3.0,5.0,Average,5.0,5.0
70629,NO,28.587000000000003,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,7-14,217,Piranha Attack,8.0,4.1,Easy,3.6,4.1
70607,NO,28.587000000000003,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,7-14,233,NINJAGO® City Chase,18.0,4.6,Easy,4.6,4.5
70628,NO,16.887,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,6-14,48,Lloyd - Spinjitzu Master,1.0,5.0,Very Easy,5.0,5.0
70633,NO,16.887,blah,blahblah,NINJAGO®,6-14,61,Kai - Spinjitzu Master,,,nan,,
70635,NO,16.887,blah,blahblah,NINJAGO®,6-14,68,Jay - Spinjitzu Master,1.0,4.0,Very Easy,4.0,3.0
70637,NO,16.887,blah,blahblah,NINJAGO®,6-14,73,Cole - Spinjitzu Master,2.0,5.0,Easy,5.0,3.5
70636,NO,16.887,blah,blahblah,NINJAGO®,6-14,69,Zane - Spinjitzu Master,,,nan,,
70634,NO,16.887,blah,blahblah,NINJAGO®,6-14,69,Nya - Spinjitzu Master,,,nan,,
70606,NO,12.987000000000002,blah,blahblah,THE LEGO® NINJAGO® MOVIE™,6-14,109,Spinjitzu Training,11.0,4.5,Easy,4.7,4.8
70751,NO,285.87,blah,blahblah,NINJAGO®,14+,2028,Temple of Airjitzu,61.0,4.6,Challenging,4.8,4.3
2000430,NO,605.735,blah,blahblah,SERIOUS PLAY®,6+,2631,Identity and Landscape Kit,7.0,4.7,Easy,4.6,3.6
2000431,NO,579.735,blah,blahblah,SERIOUS PLAY®,6+,2455,Connections Kit,8.0,3.7,Average,3.4,2.9
2000409,NO,371.735,blah,blahblah,SERIOUS PLAY®,6+,4900,Window Exploration Bag,2.0,5.0,Easy,5.0,5.0
2000414,NO,28.535,blah,blahblah,SERIOUS PLAY®,6+,219,Starter Kit,10.0,3.9,Easy,3.9,3.3
75889,NO,142.87,blah,blahblah,Speed Champions,8-14,841,Ferrari Ultimate Garage,2.0,5.0,Average,5.0,4.5
75888,NO,58.37000000000001,blah,blahblah,Speed Champions,7-14,391,Porsche 911 RSR and 911 Turbo 3.0,4.0,5.0,Average,4.8,4.8
75884,NO,22.087,blah,blahblah,Speed Champions,7-14,183,1968 Ford Mustang Fastback,9.0,4.8,Easy,4.9,4.8
75886,NO,22.087,blah,blahblah,Speed Champions,7-14,179,Ferrari 488 GT3 “Scuderia Corsa”,3.0,5.0,Easy,5.0,5.0
75885,NO,22.087,blah,blahblah,Speed Champions,7-14,203,Ford Fiesta M-Sport WRC,13.0,4.5,Average,4.5,4.5
75887,NO,22.087,blah,blahblah,Speed Champions,7-14,163,Porsche 919 Hybrid,3.0,5.0,Easy,5.0,5.0
75883,NO,142.87,blah,blahblah,Speed Champions,8-14,941,MERCEDES AMG PETRONAS Formula One™ Team,8.0,4.6,Average,4.6,4.3
75881,NO,51.87000000000001,blah,blahblah,Speed Champions,7-14,366,2016 Ford GT & 1966 Ford GT40,12.0,4.5,Easy,4.8,4.4
75877,NO,22.087,blah,blahblah,Speed Champions,7-14,196,Mercedes-AMG GT3,12.0,4.5,Easy,4.6,4.4
75880,NO,22.087,blah,blahblah,Speed Champions,7-14,161,McLaren 720S,10.0,4.7,Easy,4.9,4.7
75879,NO,22.087,blah,blahblah,Speed Champions,7-14,184,Scuderia Ferrari SF16-H,11.0,4.8,Easy,4.7,4.7
75878,NO,22.087,blah,blahblah,Speed Champions,7-14,181,Bugatti Chiron,19.0,4.7,Easy,4.9,4.8
75212,NO,259.87,blah,blahblah,Star Wars™,9-14,1413,Kessel Run Millennium Falcon™,4.0,4.0,Average,4.0,3.8
75211,NO,103.87,blah,blahblah,Star Wars™,9-14,519,Imperial TIE Fighter™,7.0,5.0,Average,4.7,3.7
75210,NO,77.87,blah,blahblah,Star Wars™,8-12,464,Moloch's Landspeeder™,2.0,4.0,Easy,4.5,3.5
75209,NO,45.37000000000001,blah,blahblah,Star Wars™,7-12,345,Han Solo's Landspeeder™,4.0,4.5,Easy,4.8,4.3
75537,NO,45.37000000000001,blah,blahblah,Star Wars™,8-14,104,Darth Maul™,,,nan,,
75536,NO,38.987,blah,blahblah,Star Wars™,7-14,101,Range Trooper™,2.0,4.0,Easy,5.0,4.5
75535,NO,38.987,blah,blahblah,Star Wars™,8-14,101,Han Solo™,,,nan,,
75159,NO,714.87,blah,blahblah,Star Wars™,14+,4016,Death Star™,84.0,4.5,Challenging,3.9,3.5
75144,NO,298.87,blah,blahblah,Star Wars™,14+,1703,Snowspeeder™,86.0,3.3,Challenging,4.3,4.1
75060,NO,285.87,blah,blahblah,Star Wars™,14+,1996,Slave I,201.0,3.9,Challenging,4.8,4.5
75190,NO,220.87,blah,blahblah,Star Wars™,9-14,1416,First Order Star Destroyer™,31.0,4.6,Average,4.8,4.4
75189,NO,194.87,blah,blahblah,Star Wars™,9-14,1376,First Order Heavy Assault Walker™,33.0,4.1,Challenging,4.4,3.9
75191,NO,168.87,blah,blahblah,Star Wars™,9-14,825,Jedi Starfighter™ With Hyperdrive,15.0,4.7,Average,4.7,4.3
75188,NO,168.87,blah,blahblah,Star Wars™,9-14,780,Resistance Bomber,23.0,4.7,Average,4.6,4.0
75187,NO,142.87,blah,blahblah,Star Wars™,10-16,1106,BB-8™,79.0,4.6,Average,4.8,4.6
75102,NO,129.87,blah,blahblah,Star Wars™,8-14,717,Poe's X-Wing Fighter™,71.0,4.7,Average,4.7,4.1
75156,NO,129.87,blah,blahblah,Star Wars™,9-14,863,Krennic's Imperial Shuttle,39.0,4.2,Average,4.4,4.4
75186,NO,129.87,blah,blahblah,Star Wars™,8-14,775,The Arrowhead,5.0,4.8,Challenging,4.8,4.4
75180,NO,129.87,blah,blahblah,Star Wars™,8-14,836,Rathtar™ Escape,3.0,5.0,Average,4.7,3.7
75179,NO,116.87,blah,blahblah,Star Wars™,8-14,630,Kylo Ren's TIE Fighter™,22.0,4.5,Average,4.6,3.9
75155,NO,116.87,blah,blahblah,Star Wars™,8-14,659,Rebel U-Wing Fighter™,56.0,4.6,Average,4.6,3.9
75202,NO,116.87,blah,blahblah,Star Wars™,9-14,746,Defense of Crait™,4.0,4.5,Easy,4.3,4.0
75172,NO,103.87,blah,blahblah,Star Wars™,8-14,691,Y-Wing Starfighter™,51.0,4.8,Average,4.7,4.4
75185,NO,103.87,blah,blahblah,Star Wars™,8-14,557,Tracker I,6.0,4.2,Challenging,4.3,4.4
75201,NO,90.87,blah,blahblah,Star Wars™,8-14,370,First Order AT-ST™,37.0,2.2,Easy,1.8,1.8
75177,NO,90.87,blah,blahblah,Star Wars™,9-14,554,First Order Heavy Scout Walker™,9.0,3.9,Challenging,4.0,3.8
75178,NO,90.87,blah,blahblah,Star Wars™,8-14,457,Jakku Quadjumper™,12.0,4.4,Easy,4.3,3.6
75532,NO,84.37,blah,blahblah,Star Wars™,10-14,452,Scout Trooper™ & Speeder Bike™,11.0,4.2,Challenging,4.5,4.4
75205,NO,77.87,blah,blahblah,Star Wars™,8-14,376,Mos Eisley Cantina™,14.0,4.0,Easy,3.5,3.3
75204,NO,58.37000000000001,blah,blahblah,Star Wars™,7-12,278,Sandspeeder™,13.0,4.9,Easy,4.5,4.2
75534,NO,58.37000000000001,blah,blahblah,Star Wars™,9-14,168,Darth Vader™,6.0,4.6,Average,5.0,4.0
75174,NO,58.37000000000001,blah,blahblah,Star Wars™,7-12,277,Desert Skiff Escape,27.0,4.6,Easy,4.6,4.1
75176,NO,58.37000000000001,blah,blahblah,Star Wars™,8-14,294,Resistance Transport Pod™,14.0,4.6,Easy,4.7,3.7
75530,NO,51.87000000000001,blah,blahblah,Star Wars™,8-14,179,Chewbacca™,5.0,4.3,Average,3.6,3.4
75200,NO,45.37000000000001,blah,blahblah,Star Wars™,7-12,241,Ahch-To Island™ Training,25.0,4.1,Easy,4.5,4.1
75173,NO,45.37000000000001,blah,blahblah,Star Wars™,7-12,149,Luke's Landspeeder™,27.0,4.3,Easy,4.5,4.3
75183,NO,45.37000000000001,blah,blahblah,Star Wars™,7-12,282,Darth Vader™ Transformation,38.0,4.5,Easy,4.7,4.7
75533,NO,45.37000000000001,blah,blahblah,Star Wars™,8-14,144,Boba Fett™,4.0,4.8,Average,4.8,4.0
75168,NO,45.37000000000001,blah,blahblah,Star Wars™,8-12,262,Yoda's Jedi Starfighter™,37.0,4.3,Easy,4.5,4.3
75199,NO,45.37000000000001,blah,blahblah,Star Wars™,7-12,157,General Grievous' Combat Speeder,19.0,3.4,Easy,2.6,1.9
75182,NO,45.37000000000001,blah,blahblah,Star Wars™,8-14,305,Republic Fighter Tank™,27.0,4.6,Easy,4.6,4.4
75169,NO,45.37000000000001,blah,blahblah,Star Wars™,7-12,208,Duel on Naboo™,32.0,4.4,Easy,4.4,4.4
75529,NO,38.987,blah,blahblah,Star Wars™,8-14,92,Elite Praetorian Guard,7.0,4.1,Easy,4.7,3.9
75528,NO,38.987,blah,blahblah,Star Wars™,8-14,85,Rey,3.0,4.7,Easy,4.7,4.7
75531,NO,38.987,blah,blahblah,Star Wars™,7-14,100,Stormtrooper™ Commander,3.0,3.3,Very Easy,4.0,4.0
75117,NO,38.87000000000001,blah,blahblah,Star Wars™,8-14,86,Kylo Ren™,12.0,4.4,Easy,4.5,4.4
75526,NO,29.887,blah,blahblah,Star Wars™,8-14,94,Elite TIE Fighter Pilot™,1.0,4.0,Easy,4.0,4.0
75196,NO,25.987,blah,blahblah,Star Wars™,6-12,188,A-Wing™ vs. TIE Silencer™ Microfighters,3.0,4.0,Easy,4.3,4.0
75195,NO,25.987,blah,blahblah,Star Wars™,6-12,216,Ski Speeder™ vs. First Order Walker™ Microfighters,4.0,4.5,Easy,4.5,4.5
75198,NO,22.087,blah,blahblah,Star Wars™,6-12,97,Tatooine™ Battle Pack,14.0,4.2,Easy,4.1,4.1
75197,NO,22.087,blah,blahblah,Star Wars™,6-12,108,First Order Specialists Battle Pack,15.0,3.8,Very Easy,4.1,3.9
75167,NO,22.087,blah,blahblah,Star Wars™,6-12,125,Bounty Hunter Speeder Bike™ Battle Pack,40.0,4.5,Very Easy,4.7,4.8
75166,NO,22.087,blah,blahblah,Star Wars™,6-12,117,First Order Transport Speeder Battle Pack,25.0,4.3,Very Easy,4.6,4.3
75193,NO,12.987000000000002,blah,blahblah,Star Wars™,6-12,92,Millennium Falcon™ Microfighter,9.0,4.7,Easy,4.7,4.7
75194,NO,12.987000000000002,blah,blahblah,Star Wars™,6-12,91,First Order TIE Fighter™ Microfighter,3.0,4.7,Easy,4.3,4.0
75160,NO,12.987000000000002,blah,blahblah,Star Wars™,6-12,109,U-Wing™ Microfighter,6.0,4.8,Easy,4.8,4.8
75161,NO,12.987000000000002,blah,blahblah,Star Wars™,6-12,88,TIE Striker™ Microfighter,4.0,4.3,Easy,4.5,4.5
75208,NO,45.37000000000001,blah,blahblah,Star Wars™,7-12,229,Yoda's Hut,5.0,4.4,Easy,4.4,4.2
75206,NO,22.087,blah,blahblah,Star Wars™,6-12,102,Jedi™ and Clone Troopers™ Battle Pack,3.0,4.0,Very Easy,4.0,4.3
75207,NO,22.087,blah,blahblah,Star Wars™,6-12,99,Imperial Patrol Battle Pack,4.0,4.3,Very Easy,5.0,4.0
75175,NO,77.87,blah,blahblah,Star Wars™,8-14,358,A-Wing Starfighter™,24.0,4.7,Easy,4.6,3.7
75181,NO,298.87,blah,blahblah,Star Wars™,14+,1966,Y-Wing Starfighter™,1.0,5.0,Very Challenging,5.0,5.0
75192,NO,1104.87,blah,blahblah,Star Wars™,16+,7541,Millennium Falcon™,197.0,4.0,Challenging,4.8,4.4
42056,NO,415.87,blah,blahblah,Technic,16+,2704,Porsche 911 GT3 RS,143.0,4.2,Challenging,4.7,4.3
42070,NO,337.87,blah,blahblah,Technic,11-16,1862,6x6 All Terrain Tow Truck,45.0,3.7,Challenging,3.5,2.9
42055,NO,324.87,blah,blahblah,Technic,12-16,3929,Bucket Wheel Excavator,75.0,3.9,Challenging,4.6,4.6
42078,NO,233.87,blah,blahblah,Technic,11-16,2595,Mack Anthem,22.0,4.5,Average,4.7,4.7
42069,NO,181.87,blah,blahblah,Technic,11-16,2382,Extreme Adventure,19.0,4.5,Average,4.9,4.7
42066,NO,168.87,blah,blahblah,Technic,10-16,1151,Air Race Jet,7.0,4.0,Challenging,4.9,4.7
42077,NO,142.87,blah,blahblah,Technic,10-16,1005,Rally Car,8.0,4.1,Average,4.4,4.1
42064,NO,129.87,blah,blahblah,Technic,10-16,1327,Ocean Explorer,14.0,4.6,Challenging,4.6,4.8
42068,NO,129.87,blah,blahblah,Technic,10-16,1098,Airport Rescue Vehicle,12.0,4.0,Average,4.8,4.6
42065,NO,116.87,blah,blahblah,Technic,9-16,370,RC Tracked Racer,28.0,4.6,Easy,4.5,4.2
42076,NO,103.87,blah,blahblah,Technic,9-16,1020,Hovercraft,5.0,3.8,Average,4.2,4.2
42063,NO,71.37,blah,blahblah,Technic,10-16,603,BMW R 1200 GS Adventure,12.0,4.2,Average,4.7,4.4
42062,NO,71.37,blah,blahblah,Technic,8-14,631,Container Yard,8.0,4.7,Easy,4.8,4.3
42075,NO,58.37000000000001,blah,blahblah,Technic,9-16,513,First Responder,1.0,5.0,Easy,5.0,4.0
8293,NO,51.87000000000001,blah,blahblah,Power Functions,9-16,10,LEGO® Power Functions Motor Set,57.0,4.6,Easy,4.5,3.9
42074,NO,45.37000000000001,blah,blahblah,Technic,8-14,330,Racing Yacht,5.0,4.0,Average,4.8,4.2
42060,NO,32.486999999999995,blah,blahblah,Technic,8-14,365,Roadwork Crew,10.0,4.6,Easy,4.8,4.6
42072,NO,29.887,blah,blahblah,Technic,7-14,135,WHACK!,1.0,5.0,nan,5.0,5.0
42073,NO,29.887,blah,blahblah,Technic,7-14,139,BASH!,2.0,4.5,Easy,4.0,3.5
42059,NO,29.887,blah,blahblah,Technic,7-14,142,Stunt Truck,7.0,4.4,Easy,4.7,4.6
42058,NO,29.887,blah,blahblah,Technic,7-14,140,Stunt Bike,2.0,4.5,Easy,4.0,4.0
42057,NO,22.087,blah,blahblah,Technic,8-14,199,Ultralight Helicopter,9.0,4.3,Easy,4.7,4.8
42071,NO,22.087,blah,blahblah,Technic,8-14,171,Dozer Compactor,2.0,5.0,Challenging,5.0,5.0
42084,NO,12.987000000000002,blah,blahblah,Technic,7-14,176,Hook Loader,2.0,4.5,Easy,4.5,4.5
70912,NO,207.87,blah,blahblah,THE LEGO® BATMAN MOVIE,12-16,1628,Arkham Asylum,20.0,3.5,Average,3.8,3.3
70917,NO,194.87,blah,blahblah,THE LEGO® BATMAN MOVIE,10-16,1456,The Ultimate Batmobile,18.0,4.6,Average,4.6,4.6
70909,NO,142.87,blah,blahblah,THE LEGO® BATMAN MOVIE,8-14,1047,Batcave Break-in,23.0,4.7,Average,4.7,4.3
70916,NO,129.87,blah,blahblah,THE LEGO® BATMAN MOVIE,9-14,1053,The Batwing,4.0,4.0,Average,4.0,3.8
70905,NO,90.87,blah,blahblah,THE LEGO® BATMAN MOVIE,8-14,581,The Batmobile,20.0,4.6,Average,4.8,4.3
70906,NO,77.87,blah,blahblah,THE LEGO® BATMAN MOVIE,8-14,433,The Joker™ Notorious Lowrider,19.0,4.4,Average,4.7,4.2
70914,NO,77.87,blah,blahblah,THE LEGO® BATMAN MOVIE,8-14,366,Bane™ Toxic Truck Attack,6.0,3.7,Average,4.0,3.0
70911,NO,51.87000000000001,blah,blahblah,THE LEGO® BATMAN MOVIE,8-14,305,The Penguin™ Arctic Roller,24.0,4.5,Easy,4.8,4.4
70903,NO,51.87000000000001,blah,blahblah,THE LEGO® BATMAN MOVIE,7-14,254,The Riddler™ Riddle Racer,18.0,4.2,Easy,4.2,4.4
70910,NO,38.987,blah,blahblah,THE LEGO® BATMAN MOVIE,7-14,204,Scarecrow™ Special Delivery,8.0,4.1,Average,4.4,4.1
70901,NO,38.987,blah,blahblah,THE LEGO® BATMAN MOVIE,7-14,201,Mr. Freeze™ Ice Attack,19.0,4.1,Easy,4.6,4.4
70913,NO,22.087,blah,blahblah,THE LEGO® BATMAN MOVIE,6-12,141,Scarecrow™ Fearful Face-off,7.0,4.0,Easy,4.1,4.4
70900,NO,22.087,blah,blahblah,THE LEGO® BATMAN MOVIE,6-12,124,The Joker™ Balloon Escape,18.0,4.5,Easy,4.7,4.6
21030,NL,134.18779999999998,blah,blahblah,Architecture,12+,1032,United States Capitol Building,23.0,3.6,Average,4.6,4.3
21035,NL,97.5878,blah,blahblah,Architecture,12+,744,Solomon R. Guggenheim Museum®,14.0,3.2,Challenging,4.6,4.1
21039,NL,79.28779999999998,blah,blahblah,Architecture,12+,597,Shanghai,7.0,3.7,Average,4.9,4.4
21029,NL,73.1878,blah,blahblah,Architecture,12+,780,Buckingham Palace,24.0,4.4,Average,4.7,4.3
21028,NL,73.1878,blah,blahblah,Architecture,12+,598,New York City,37.0,3.7,Average,4.2,4.1
21034,NL,60.9878,blah,blahblah,Architecture,12+,468,London,23.0,3.6,Average,4.7,4.1
21033,NL,54.8878,blah,blahblah,Architecture,12+,444,Chicago,11.0,3.6,Average,4.8,4.5
21036,NL,48.7878,blah,blahblah,Architecture,12+,386,Arc de Triomphe,14.0,4.1,Average,4.4,3.6
21019,NL,42.6878,blah,blahblah,Architecture,12+,321,The Eiffel Tower,53.0,3.2,Average,4.6,4.4
21032,NL,42.6878,blah,blahblah,Architecture,12+,361,Sydney,7.0,4.2,Easy,4.6,4.2
17101,NL,195.1878,blah,blahblah,BOOST,7-12,847,BOOST Creative Toolbox,63.0,3.8,Average,3.4,3.5
41597,NL,42.6878,blah,blahblah,BrickHeadz,10+,708,Go Brick Me,13.0,4.7,Average,4.8,4.8
41614,NL,24.3878,blah,blahblah,BrickHeadz,10+,234,Owen & Blue,1.0,3.0,Easy,5.0,5.0
41613,NL,24.3878,blah,blahblah,BrickHeadz,10+,160,Mr. Incredible & Frozone,1.0,5.0,Very Easy,5.0,5.0
41609,NL,12.1878,blah,blahblah,BrickHeadz,10+,149,Chewbacca™,1.0,2.0,Very Easy,3.0,4.0
41608,NL,12.1878,blah,blahblah,BrickHeadz,10+,141,Han Solo™,1.0,2.0,Very Easy,4.0,4.0
41604,NL,12.1878,blah,blahblah,BrickHeadz,10+,101,Iron Man MK50,3.0,4.0,Average,4.7,4.5
41605,NL,12.1878,blah,blahblah,BrickHeadz,10+,105,Thanos,2.0,3.0,Easy,5.0,5.0
41606,NL,12.1878,blah,blahblah,BrickHeadz,10+,113,Star-Lord,1.0,5.0,Easy,5.0,5.0
41607,NL,12.1878,blah,blahblah,BrickHeadz,10+,136,Gamora,1.0,,nan,5.0,
40271,NL,12.1878,blah,blahblah,BrickHeadz,10+,126,Easter Bunny,4.0,2.0,Easy,5.0,4.5
41599,NL,12.1878,blah,blahblah,BrickHeadz,10+,143,Wonder Woman™,5.0,4.6,Easy,5.0,5.0
41598,NL,12.1878,blah,blahblah,BrickHeadz,10+,122,The Flash™,3.0,2.7,Very Easy,4.0,3.0
41603,NL,12.1878,blah,blahblah,BrickHeadz,10+,130,Kylo Ren™,5.0,4.3,Easy,5.0,4.8
40270,NL,12.1878,blah,blahblah,BrickHeadz,10+,140,Valentine's Bee,7.0,3.2,Easy,4.9,4.7
41602,NL,12.1878,blah,blahblah,BrickHeadz,10+,119,Rey,3.0,4.5,Easy,5.0,4.5
41601,NL,12.1878,blah,blahblah,BrickHeadz,10+,108,Cyborg™,2.0,3.5,Easy,5.0,4.0
41600,NL,12.1878,blah,blahblah,BrickHeadz,10+,135,Aquaman™,1.0,1.0,Very Easy,4.0,3.0
41611,NL,24.3878,blah,blahblah,BrickHeadz,10+,240,Marty McFly & Doc Brown,1.0,3.0,Easy,5.0,5.0
